type,text,listPrice,lastSoldPrice,sqft,stories,beds,baths,baths_full,garage,zip code ,sold_to_list_ratio
single_family,"What you've been waiting for! Welcome to this charming 3-bedroom, 1.5 bath ranch nestled in desirable Oceanport! This well-maintained home offers the ease of single-level living combined with a warm and inviting layout perfect for everyday comfort and entertaining. Step inside to find a bright & spacious LR filled with natural light, seamlessly flowing into the DR and FR. The kitchen features ample maple cabinetry & granite countertops. Engineered hardwood floors are throughout the home, with the exception of the kitchen, baths, & office/laundry. A convenient 1/2 bath complements the FB, both thoughtfully positioned for functionality. Direct access from both the FR & office to a wood deck overlooking yard. Additional highlights are an enclosed 3-season room & a detached 2-car garage",775000,825000,1760,1,3,2,1,2,7757,1.064516
single_family,"Welcome to this pristine&impeccably maintained home,perfectly positioned within the prestigious Greenbriar Oceanaire Golf&Country Club.[Redacted entity] is highlighted by rich hardwood flooring throughout,complemented by timeless ceramic tile in the [Redacted entity]-perfect for everyday living&entertaining. [Redacted entity] boasts 2 bed rms,full bath,a spare room&a spacious loft.Outdoor living at its best provides a beautifully designed paver patio w/retractable awning, overlooking unobstructed views of the championship golf course-an ideal setting for outdoor living.Enjoy resort style living with access to an 18 hole championship golf course,a magnificent 38,000sf clubhouse offering a grand ballroom,billiards room,fitness center, private restaurant&more!Come embrace this lifestyle of luxury & leisure!",749000,744500,3068,2,3,3,2,2,8758,0.993992
single_family,"How would you like to have virtually NO ELECTRIC BILLS FOR ABOUT THE NEXT 12 YEARS? This lovely 4 bedroom, 2.5 bath colonial home is [Redacted entity] WITH INCENTIVES! Sellers have paid-up solar panels and rarely if ever, pay anything for their electric, even in those hot summer months! Plus, the next lucky home [Redacted entity] a 5 year old roof, with a 50 YEAR WARRANTY! In addition, all major ticket items, including the AC, furnace, hot water heater, washer, dryer, microwave and stove, have all been replaced within the past 5 years! Home has a gourmet kitchen, center island, finished basement, fenced in yard, fire pit, master bath with a jacuzzi, PLENTY of attic storage for all your ''stuff''. What's missing here? ONLY YOU!",689900,653500,2282,2,4,3,2,2,8050,0.947239
single_family,"STUNNING expanded 5 bedroom, 4.5 bath custom colonial in Westbrook Estates like no other.... pictures just begin to tell the story..... Owners spared no expense making this truly a one-of-a-kind property that has it all! Amazing floor plan and unique custom features including an incredible gourmet kitchen, spacious bedrooms, an owners suite with a walk-in-closet like no other. Versatile main floor bedroom with full bath attached. A backyard oasis that feels like a 5-star resort. Fabulous finished basement with full bath. Just some of the fabulous features and upgrades include an owners suite addition with balcony, additional first floor bedroom and full bath newer roof, siding, stucco and stone, entry doors, renovated pool and spa with waterfall, an abundance of pavers and so much more. Located minutes from major highways, top rated schools and shopping. Prepare to be blown away!",1350000,1510000,3646,2,5,5,4,2,7751,1.118519
single_family,"A rare blend of Pines Lake charm & modern living, this custom 4 Bedroom, 2.1 Bath home offers approx 2, [Redacted entity]-filled space. Enter into a stunning Great Rm w/ vaulted ceilings, skylights & a dramatic stone wood-burning fireplace, surrounded by natural light & access to a private courtyard. A split-bedroom layout features 2 Bedrooms w/ barreled ceilings & log walls, plus a beautifully updated shared [Redacted entity]. Just steps up, enjoy a spacious [Redacted entity], Office area & Powder Rm. The gourmet Kitchen is appointed w/ granite countertops, SS appliances & a separate Dining area, flowing seamlessly to a custom deck w/ pergola showcasing breathtaking lake views and sunsets perfect for entertaining. Multiple patios & yard spaces enhance the outdoor experience.The top level offers a bright [Redacted entity] w/ full Bath & an additional Bedroom. The ground level adds flexibility w/ Office, [Redacted entity], Laundry, Mudroom, storage & access to the basement & oversized garage.Updates include newer systems & front and patio doors. [Redacted entity] lifestyle w/ private beaches, boating, sailing, tennis, pickleball & scenic trails.",749000,815000,2494,,4,3,2,1,7470,1.088117
single_family,"Beautiful Brand New, move-in ready home in the desirable Blue River community. This fully finished 5-bedroom, 3.5-bath home includes a finished basement with 3 additional bedrooms and 2 bathrooms, plus numerous upgrades. Located in a small, private development known for its quiet setting and well-kept streets. Highlights: - Fully finished and move-in ready - Community shul with a ruv - Private Park in the development - Low-traffic, peaceful location - Only home in Blue River with no house directly across the street Location: Short walk to shopping, essential services, and medical offices. Convenient and calm setting close to everything.",1299999,1260000,,3,5,4,3,,8701,0.969232
condos,"Have you ever dreamt of owning a waterfront home in [Redacted entity] with spectacular, unobstructed views of Sunset Lake? Imagine sitting out back on your two decks and watching the beautiful sunsets EVERY NIGHT. This is your chance! You now have the rare opportunity to own a one-of-a-kind BAYFRONT condo on the second floor of the six-unit [Redacted entity][Redacted entity] Crest! This CORNER unit with unreal views has 2 bedrooms, 2 baths, and a spacious loft that will easily sleep up to 8 people. Use it year-round with central heating and air conditioning, and a fireplace. You'll have an assigned off-street parking space and your own boat slip that will take your water toys or a Boat! The unit comes fully furnished and ready for your family to enjoy! Don't miss your chance to own this unique property! Easy to Show!!",989971,989971,,2,2,2,2,,8260,1
single_family,"Highest & Best Friday 4/17/26 at 12pm Welcome to this elegant 5 bedroom, 3 full bath home in the prestigious Colonial Oaks of East Brunswick, offering the perfect blend of comfort, functionality, and style! The newer eat-in kitchen is a true standout, featuring a center island, granite countertops, tile backsplash, double wall oven, 2 dishwashers, built-in hood, and two built-in pantriesideal for both everyday living and entertaining. Sliding doors lead you to a stunning park-like backyard complete with a deck and a gorgeous in-ground pool, creating your own private outdoor oasis. The first floor boasts gleaming hardwood floors throughout, a warm and inviting living room with a gorgeous wood-burning fireplace, a convenient first-floor bedroom and full bathperfect for guests or multi-generational livingas well as a laundry room for added ease. Upstairs, you'll find brand new carpeting throughout, 4 generously sized bedrooms including a spacious primary suite with a walk-in closet and private bath. Additional highlights include a fully finished basement offering extra living space, newer windows and roof, recessed lighting throughout, attic pull-down stairs for storage, sprinkler system, and a 2-car garage. This home truly has it allspace, updates, and incredible indoor and outdoor living. Don't miss the opportunity to make it yours!",899000,951000,2498,2,5,3,3,2,8816,1.057842
single_family,"This is the opportunity you've been waiting for-own a spacious, 5-bedroom home in the heart of West Cape May for under $1 million! Located in prime downtown West Cape May, The Grace House offers timeless architecture in an unbeatable location-just minutes from the beach, shops, and restaurants. Whether you're looking for a year-round residence, a vacation getaway, or an investment property, this home offers the ideal blend of classic elegance and relaxed coastal living in one of the most picturesque coastal towns. From the original hardwood floors to its high ceilings, every inch of this home tells a story. This home exudes a light and airy ambiance, enhanced by crisp, newly painted white walls. Recent upgrades include AC unit, first floor HVAC system, hot water heater, granite countertops, washer/dryer and refrigerator, ensuring both comfort and longevity for years to come. The inviting front porch is perfect for morning coffee or evening gatherings, while the interior features a bright, open layout that flows seamlessly from room to room-ideal for entertaining or making memories with family and friends. With easy access to West Cape May's renowned boutique shopping, acclaimed dining, and festivals, this is more than just a home-it's a lifestyle investment. Properties like this are rare, and at this price point, it won't last long. Home is being sold ""As -Is"" Home Inspections for informational purposes only. Includes digitally enhanced/ virtually staged media depicting the back yard for illustrative purposes only.",999999,940000,1938,3,5,1,1,,8204,0.940001
condos,"2023 End-Unit Townhome with Premium Upgrades in [Redacted entity] community built by Garden Homes! A perfect blend of modern style & functional design, this sun-drenched [Redacted entity] model offers 2670 square feet of above grade living & an open layout w/ premium upgrades throughout. The heart of the home is a dramatic great room anchored by a gas fireplace framed by custom built-ins. The chef-inspired kitchen boasts white shaker cabinets, quartz countertops, a center island, upgraded designer lighting & a charming dining nook w/ custom banquet seating, offering direct access to a large rear patio for seamless indoor-outdoor entertaining.The upper level houses the primary suite featuring a dedicated sitting area, a spacious walk-in closet & double-vanity en-suite bath, plus two additional bright bedrooms, a hall bath, and convenient laundry. Distinguishing this home is a versatile street-level living area an entirely above-grade space currently used as a guest suite. This sun-filled, high-value footprint is a bright alternative to a traditional basement, providing the perfect space for a home office or gym.The 2-car garage is a hobbyist's dream, fully finished w/ a Tesla charger & custom slat wall storage. Additional highlights include custom electric blinds and a whole house water softener. Enjoy a maintenance-free lifestyle in Florham Park, minutes from top schools, dining, & commuting. A like-new, highly upgraded opportunity in a sold-out community a must-see!",899000,899000,2670,,3,3,2,2,7932,1
single_family,"Stunning Nantucket style Dutch colonial across from Sunset Lake has many admirers! 5 BD, 3.5 BA home w/premier woodwork, quality craftsmanship, custom paneled walls on 1st floor & tiger oak flooring thru-out. Huge front & back porches plus bonus of a newer built studio w/full bath, bar, [Redacted entity] bed, loft, patio, TV & more. Very private yard w/room for a pool & lake views from the front of the house. Gorgeous EIK w/center island & SS appliances, huge formal DR, great room w/woodburning fireplace, office & powder room complete the 1st floor. Upstairs has 4 generous size BD, including primary w/vaulted ceiling, sitting area & spa-like bath, upper porch & laundry. Full bsmt, 2 zone heat & AC, Sonos system & more! A rare gem near beaches & exciting nightlife! Doesn't get much better than this!",2899000,2675000,3296,2,4,4,3,,7712,0.922732
single_family,"Picture a home that perfectly captures the charm & sophistication of Maplewood-a town known for its tree-lined streets, classic architecture, & strong sense of community. This exquisite 6BR, 3.[Redacted entity] on gentle knoll in the coveted Roosevelt Estate section, & is like no other. Step through the front door into a welcoming sun-filled foyer where classic details meet modern living. Striking millwork, high ceilings, hardwood floors, & leaded windows all create an elegant yet comfortable atmosphere. The main floor offers a gorgeous DR w/FP, leaded windows & unmatched millwork, a game room, sun-filled FR w/ generous windows, spacious LR w/FP, & an updated chef's kitchen w/center island, eating area & butler's pantry as well as access to the deck, oversized patio & private yard. As you ascend to the 2nd floor, a tranquil sun room awaits your enjoyment. The primary suite boasts a stunning marble BTH w/double vanity, soaking tub & an over-sized shower plus a huge WIC & office w/built-in bookcases (could be a BR) plus 2 more well sized BRS & BTH. The 3rd fl offers 3 more generous BRS & BTH, charming [Redacted entity] room & attic storage. A large full bsmnt w/generous storage, laundry area & endless opportunity to finish, if desired. From the unmatched curb appeal, private setting, exquisite details, tasteful upgrades & perfect location so close to the quaint Maplewood Village, NYC train, restaurants, parks & shop this home is truly special.",2495000,2758000,,,6,4,3,2,7040,1.105411
townhomes,"Location Location Location!!! Move In Ready, Recently Updated, Freshly Painted, and Professionally Cleaned! 2 Spacious Bedrooms (1 Being the Primary with Private [Redacted entity] and HUGE WIC)! 3 Bathrooms Total!!! Storage Galore! LARGE/ATTACHED 2 Car Garage with Soaring Ceilings!! [Redacted entity] Has It ALL Just Minutes from Your Front Door! [Redacted entity], Commuter's Dream! Close to Schools, [Redacted entity], All Major Highways (Rt 1, Rt 9, GSP, NJT!!!!), Less Than 1 Mile to the Train and Shopping!! Book Your Private Showing Today! Your NEW HOME Awaits!",407500,420000,,2,2,3,2,2,7001,1.030675
single_family,"Step into this beautifully reimagined home by Colicchio, where modern design meets exceptional craftsmanship. Thoughtfully upgraded throughout, every space features clean, designer finishes and a seamless attention to detail. Situated on a prime corner lot in the desirable Westfield Gardens neighborhood, this home offers a refined yet comfortable lifestyle in one of the area's most sought-after settings. A stunning chef's kitchen anchors the home, featuring premium Thermador appliances, custom inset cabinetry, and a spacious layout designed for both everyday living and entertaining. Thoughtful design continues throughout with custom millwork, built-ins, designer wallpaper, and beautifully finished spaces at every turn. The primary suite offers a cathedral ceiling and a luxurious spa-like bath with radiant heated marble floors. Natural light pours through [Redacted entity] windows, complementing the rich red oak hardwood floors and curated designer lighting. Modern comfort and efficiency are seamlessly integrated with multi-zone HVAC, smart home features, and whole-home connectivity. The finished basement provides flexible space for recreation, fitness, or entertaining, while the double-wide garage and professionally landscaped, fully fenced yard enhance everyday convenience. Outdoor living is elevated with a bluestone patio, privacy hedges, and a dedicated play and sport area. A rare opportunity just [Redacted entity] of all [Redacted entity] has to offer!",3200000,2900000,,,6,6,4,2,7090,0.90625
single_family,"OPEN HOUSE CANCELLED for 4/18. Experience the pinnacle of Jersey Shore living in this custom-built architectural marvel. Located in the heart of prestigious Brielle, this estate seamlessly blends industrial-strength integrity high-end designer living spaces. This home features a robust 2x6 beam framework encased in a timeless, full-brick exterior & Certain Teed Grand Manor roof. It's a fortress of elegance offering over 5,200 square feet of meticulously crafted living space, first-floor primary suite, an expansive finished basement & massive 3-car attached garage! Dive into your pristine salt-water gunite pool, perfect for summer soirees. You are minutes away from the best the area has to offer: Championship Golf Courses, The Manasquan River & Marina life, Boutique Shopping & Fine Dining and Sun-drenched [Redacted entity]. From morning rounds on the green to sunset boat rides and walks on the sand, this isn't just a house--it's the ""Beach Lifestyle"" you've dreamed of!",3199999,2950000,5200,2,5,6,5,3,8730,0.921875
single_family,"Step into timeless elegance with this beautifully maintained center-hall Colonial. The sun-drenched kitchen is a showpiece featuring Anderson Architectural Series windows, solid oak floors, custom cabinetry, premium appliances and [Redacted entity] marble countertops. The gracious living room draws you in with a fully restored fireplace and twin glass doors that open to a charming side porch. Just off the welcoming front foyer, you'll find a spacious dining room, powder room and guest closet--completing an ideal layout for both entertaining and everyday living. The second level offers four well-proportioned bedrooms (one currently styled as a cozy family room) along with a newer full bath. The third floor primary suite is a private retreat complete with a luxurious bathroom featuring custom cabinetry, [Redacted entity] marble, designer fixtures and an oversized walk-in closet.The walk-out lower level has an exercise/rec room, laundry room and a storage/utility room. Out back you'll discover a stunning outdoor oasis. A large three-season screened porch is surrounded by bluestone terraces, lush gardens, multiple patios and a new shed-an ideal setting for entertaining, play, or simply relaxing beneath dappled sunlight.This is a rare opportunity to own a home that seamlessly blends historic charm, thoughtful design and a great location.This is a rare opportunity to own a home that seamlessly blends historic charm, thoughtful design and a great location.",1275000,1700000,,,5,3,2,,7040,1.333333
single_family,"Welcome to this beautifully maintained home tucked away on a quiet cul-de-sac in desirable Old [Redacted entity], located within the town's highly sought-after Blue Ribbon school district. Set on almost an acre of beautifully landscaped property, this spacious residence offers exceptional privacy along with the perfect combination of comfort, style, and convenience. Hardwood flooring runs throughout, and the ideal layout is designed for both everyday living and entertaining. The stunning kitchen, renovated in 2018, features radiant heated floors, a large center island, custom cabinetry, and updated finishes. It flows seamlessly into the main living areas, creating the perfect gathering space. The home also offers two fireplaces one wood-burning and one gas adding warmth and ambiance. The finished basement provides exceptional additional living space, complete with slat flooring and wall-to-wall carpeting, a custom home office, and a large gym. A state-of-the-art media room delivers the ultimate home theater experience. Additional highlights include a Crestron home audio system, efficient 5-zone heating, 5-zone central A/C, and a spacious 2-car attached garage. Filled with natural light and set on nearly an acre, this home offers a rare opportunity in one of Old Tappan's most desirable neighborhoods.",1699000,1760000,,,5,5,4,2,7675,1.035903
single_family,"Flawless brick front Center Hall Colonial personifies charm & elegance, and is sited beautifully at the very end of a quiet cul-de-sac street in a coveted east Mendham Township neighborhood. 9 rooms including 4 airy bedrooms, 2 full baths, and powder room-this wonderful home offers an exceptional floor plan & seamless flow comprising over 3, 400 sq ft of commodious living space on the two upper floors alone, plus an expansive multi-room finished lower level with walk-out; hardwood flooring, volume ceilings, and custom millworker throughout; skillfully expanded, expertly maintained, and move-in ready, plus the long term peace-of-mind of a brand new septic system to be installed prior to closing! Other notable features include 9' ceilings on 1st floor & 8' on 2nd floor; abundant closet space; four-panel doors; central vacuum; neutral interior color scheme; 2-car attached garage with paved driveway & ample parking; expansive, inviting no-maintenance composition deck; brick front walkway with night accent lighting; professionally maintained showcase property with flat play areas & woodland boarder. Prized east [Redacted entity] neighborhood location close to town centers of Mendham and Brookside with National Blue Ribbon elementary and middle schools & top-rated high school recognized for its advanced placement International Baccalaureate Program (IB).",1425000,1525000,3400,,4,3,2,2,7945,1.070175
condos,"One of the best values in Parsippany, this nearly NEW CONSTRUCTION 3-bedrooms, 2.5-baths [Redacted entity] townhouse (built in 2022) offers modern design, premium upgrades, and a rare opportunity in the sought-after Watersedge community. With approximately 2, 849 sq ft including a walkout basement and garage, it delivers exceptional space plus 7 years of remaining structural warranty enjoy the benefits of new construction without the wait.The bright, open-concept main level is filled with natural light and features a spacious living and dining area with a cozy gas fireplace. The upgraded kitchen includes shaker-style white cabinets, granite countertops, stainless steel appliances, a center island with seating, modern backsplash, and a breakfast nook leading to a private deck. Hardwood floors run throughout the main level, loft, and stairs for a seamless upscale feel. Upstairs, the primary suite offers tray ceilings, a walk-in closet, and a private bath. Two additional bedrooms share a full bath, and a second-floor laundry room adds convenience. The 788 sq ft walkout basement opens to a private, wooded backyard with patio space. Additional highlights include a water softener, RO system, and upgraded powder room. HOA covers exterior maintenance, roof, snow, and lawn care. Prime location near highways, shopping, dining, and top-rated schools. Schedule your showing today! [Redacted entity] mailing address with HIGHLY rated PARSIPPANY SCHOOL DISTRICT!",729900,725000,1840,,3,3,2,1,7005,0.993287
single_family,"Fabulous totally renovated home unsurpassed in quality and with a gorgeous backyard with bluestone patio, stunning saltwater pool with waterfall, summer kitchen & fire pit, ideally located in highly rated Deerfield Elementary School district! Stunning gourmet eat-in kitchen with crisp white custom cabinetry, gleaming quartz countertops, top of the line SubZero refrigerator/freezer, Viking exhaust over Viking 6 burner range with griddle, Maytag dishwasher, wine refrigerator, totally open to amazing huge family room with cathedral ceiling, palladian windows, wood-burning fireplace with stone surround, open floor plan, hardwood floors, & French doors leading to expansive bluestone patio with [Redacted entity] w/ BBQ, refrigerator, fire pit and spectacular totally fenced backyard with heated saltwater pool & waterfall and plenty of room for a play set and trampoline. Luxurious [Redacted entity] suite with gorgeous new [Redacted entity] bath. 3 bedrooms & 2 full baths on the 2nd level. Lower level with walkout access, rec room and mudroom. Amenities include state of the art Buderus Hydronic heating system, New HVAC 2025, new hot water heater 2024, new thermal windows & doors throughout, new roof, & Generac generator 2013. Great location close to Gero Park (0.6 miles), the town's rec center w/ baseball fields, tennis & pickleball courts, town pool & par 3 golf course, Old Short Hills Park (1.2 miles), Short Hills Train Station (1.4 miles), and Deerfield Elementary School (1.6 miles). Low Taxes!",2495000,2736500,3318,2,9,4,3,2,7078,1.096794
single_family,"Welcome to [Redacted entity], a one-of-a-kind estate, set on one of Upper Montclair's most iconic streets-just moments from the serene paths of Yantacaw Brook Park & Brookdale P.This enchanting center hall Tudor perfectly balances timeless charm and contemporary design, featuring distinctive details.Step inside and feel the story unfold through graceful architectural arches, guiding you from one beautiful space to the next-adding warmth, character and craftsmanship rarely found.The grand living room invites gathering & connection, while a private study and sun-drenched three-season porch offer quiet moments to unwind.At the heart of the home, an open concept kitchen with an impressive 11-foot island and top-of-the-line appliances was designed for both intimate mornings and lively entertaining. The 2nd floor offers 4 generous bedrms and 2 full baths (including a Jack & Jill).The 3rd floor primary suite is a true, luxurious retreat complete w\ a dressing rm, built-in walk-in closet & a spa-like bath w\ a soaking tub made for slow evenings. A finished lower level offers endless entertainment, while outside, a fenced-in yard and expansive deck equipped w\ a gas-line fire pit and grill set the scene for unforgettable nights under the stars. Imagine relaxing in your charming sitting area in the front, enjoying summer evenings, wave to neighbors, and take in the simple joy of local lemonade stands-quintessential American living at its finest. A home to fall in love with again and again.",1650000,2500000,,,5,5,3,2,7043,1.515152
